label,HH_L3_covariance,HH_L5_weight,HH_L5_mean,HH_L5_std,HH_L5_magnitude,HH_L5_radius,HH_L5_covariance,HH_L5_pcc,HH_L3_weight,HH_L3_mean,HH_L3_std,HH_L3_magnitude,HH_L3_radius,HH_L3_pcc,HpHp_L0.01_pcc,HH_L1_weight,HH_L1_mean,HH_L1_std,HH_L1_magnitude,HH_L1_radius
1,0.0,2.999527467,456.33754010000007,19.34334293,456.33754010000007,374.1649157,0.0,0.0,2.999716454,456.3358575,19.34393552,456.3358575,374.1878415,0.0,0.0,2.999905479,456.3341747,19.34452799,456.3341747,374.210763
1,1.6999999999999996e-12,1.386649996,300.0,1.4300000000000005e-05,599.4672635,6.17e-09,5.5e-23,4.9000000000000006e-14,1.855489105,299.9999996,0.006235531999999999,599.4672612,0.0008204839999999999,9.52e-09,0.051642485,4.371023294,299.95638710000014,2.045841557,599.2854751,62.26340523
1,0.0,1.0,60.0,0.0,84.85281374,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374,0.0
1,-9.627901245,1.00033058,66.06396242,4.593855306,570.6213532,110.131198,-0.013546896000000001,-0.000283641,1.011169679,68.0112467,25.68396977,566.1817292000002,2527.32073,-0.007589275,0.041970443,1.4993971819999998,122.7573246,124.7527715,484.4111159,42557.55268
1,0.0,1.999600979,449.003991,19.9999996,449.003991,399.9999841,0.0,0.0,1.999760568,449.00239460000006,19.99999986,449.00239460000006,399.9999943,0.0,0.0,1.999920186,449.0007982,19.99999999,449.0007982,399.9999994
1,0.0,2.9995455960000004,456.335579,19.34408238,456.335579,374.1935231,0.0,0.0,2.999727344,456.3346807,19.34437912,456.3346807,374.2050037,0.0,0.0,2.999909113,456.3337825,19.34467583,456.3337825,374.216483
1,0.0,1.99602929,449.03978610000013,19.99996043,449.03978610000013,399.9984171,0.0,0.0,1.997615678,449.0238717,19.99998575,449.0238717,399.9994301,0.0,0.0,1.999204596,449.0079572,19.99999842,449.0079572,399.9999367
1,0.0,2.987824475,456.3899839,19.32620603,456.3899839,373.5022394,0.0,0.0,2.992684797,456.3673319,19.33367173,456.3673319,373.7908626,0.0,0.0,2.9975583,456.34466889999993,19.34111285,456.34466889999993,374.0786461
1,0.0,1.0,60.0,0.0,84.85281374,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374,0.0,0.0,-4.31e-17,1.000000001,60.0,0.0,84.85281374,9.09e-13
1,0.0,1.988460124,449.1160685,19.9996632,449.1160685,399.9865281,0.0,0.0,1.993060007,449.0696416,19.99987875,449.0696416,399.99515,0.0,0.0,1.9976813,449.023214,19.99998653,449.023214,399.9994612
1,0.0,1.411467564,106.2294217,62.71565852,211.5979443,3933.253824,0.0,0.0,1.5869503459999998,117.0407575,66.62181031,217.2269295,4438.465609000001,0.0,8.459999999999998e-07,1.837273069,128.8886828,68.72882803,223.8331802,4723.651803
1,0.0,2.984376019,456.4337161,19.31026807,456.4337161,372.8864528,0.0,0.0,2.990605721,456.393603,19.32414527,456.393603,373.4225904,0.0,0.0,2.996861925,456.3534365,19.3379495,456.3534365,373.956291
1,1706.77842,1.334277561,216.3940699,83.16640935,1224.782316,167609.6171,447.59781860000015,0.013151509,2.157282195,164.57224630000005,95.06813649,1099.695656,260040.6974,0.035217031,0.256701159,5.813129996,116.8214597,76.14797877,880.4229107000001,357295.3496
1,0.0,1.0,60.0,0.0,84.85281374,0.0,0.0,0.0,1.0,60.0,0.0,84.85281374,0.0,0.0,-3.41e-17,1.0,60.0,0.0,84.85281374,0.0
1,0.0,1.0,204.0,0.0,274.0529146,0.0,0.0,0.0,1.0,204.0,0.0,274.0529146,0.0,0.0,0.0,1.000000002,203.9999998,0.004797152,274.0529145,2.3e-05
1,0.0,1.62538119,376.7338719,119.2019231,376.7338719,14209.09848,0.0,0.0,2.104700158,342.40612989999994,122.3483337,342.40612989999994,14969.11475,0.0,0.0,3.10512681,304.9017722,114.4790135,304.9017722,13105.44454
1,-3.799999999999995e-213,1.313391795,98.92853502,58.82048465,208.0284957,3459.849414000001,0.0,0.0,1.49848555,111.9070198,65.02087562,214.5045013,4227.714267,0.0,0.044925467,1.792898371,127.02965829999998,68.53811825,222.7678929,4697.473654
1,0.0,1.991751418,449.0828274,19.99982849,449.0828274,399.9931396,0.0,0.0,1.995042655,449.0496966,19.99993826,449.0496966,399.9975302,0.0,0.0,1.998344816,449.0165656,19.99999314,449.0165656,399.9997256
